No.,Airport name,Province,City served,IATA,ICAO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Tan Son Nhat International Airport,Ho Chi Minh City,Ho Chi Minh City,SGN,VVTS,"17,538,353","20,035,152","22,153,349","26,546,475","32,486,537","35,996,014","38,414,737","41,243,240","22,062,893","10,287,611","34,278,320","40,738,295"
2,Noi Bai International Airport,Hanoi,Hanoi,HAN,VVNB,"11,341,039","12,825,784","14,190,675","17,213,715","20,596,632","23,824,400","25,908,048","29,304,631","16,473,214",Un­known,"24,430,000","29,800,000"
3,Da Nang International Airport,Da Nang,Da Nang,DAD,VVDN,"3,090,877","4,376,775","4,989,687","6,722,587","8,783,429","10,801,927","13,229,663","15,543,598",Un­known,Un­known,"8,900,000",Un­known
4,Cam Ranh International Airport,Khánh Hòa,Nha Trang,CXR,VVCR,"1,095,776","1,509,212","2,062,494","2,722,833","4,858,362","6,500,000","8,250,000","9,747,172","3,305,057","972,817","3,860,541","5,700,000"
5,Phu Quoc International Airport,Kiên Giang,Phú Quốc,PQC,VVPQ,"493,434","685,036","1,002,750","1,467,043","2,278,814","3,000,000","3,200,000","3,700,205",Un­known,Un­known,"5,500,000",Un­known
6,Cat Bi International Airport,Hai Phong,Hai Phong,HPH,VVCI,"683,574","872,762","927,001","1,256,719","1,800,000","2,089,000","2,373,700","2,639,000",Un­known,Un­known,"2,979,000","2,670,000"
7,Vinh Airport,Nghệ An,Vinh,VII,VVVH,"635,277","917,638","1,222,698","1,300,000","1,563,387","1,800,000","1,880,000","1,950,000","2,000,000","1,100,000","2,650,000","2,600,000"
8,Phu Bai International Airport,Thừa Thiên Huế,Hue,HUI,VVPB,"673,044","427,582","1,159,499","1,300,000","1,550,000","1,750,000","1,831,000","1,931,939",Un­known,Un­known,"2,100,000",
9,Lien Khuong Airport,Lâm Đồng,Da Lat,DLI,VVDL,"387,925","476,438","675,607","862,164","1,262,513","1,530,000","1,690,000","2,000,000",Un­known,Un­known,"2,960,000","2,548,000"
10,Buon Ma Thuot Airport,Đắk Lắk,Buon Me Thuot,BMV,VVBM,"410,724","535,084","695,147","830,000","1,220,000",Un­known,"909,907","1,003,419","988,400","591,077",Un­known,
11,Phu Cat Airport,Bình Định,Quy Nhon,UIH,VVPC,"236,254","290,832","420,520","630,935","1,030,000","1,500,000","1,126,156","1,572,000",Un­known,Un­known,Un­known,
12,Can Tho International Airport,Cần Thơ,Cần Thơ,VCA,VVCT,"200,751","241,307","305,015","481,447","550,090","612,512","835,100","1,335,000","2,245,670","513,000",Un­known,
13,Pleiku Airport,Gia Lai,Pleiku,PXU,VVPK,"319,833","319,994","300,471","237,564","797,509","753,784","720,000","730,000",Un­known,Un­known,Un­known,
14,Con Dao Airport,Bà Rịa–Vũng Tàu,Côn Đảo,VCS,VVCS,"191,039","175,574","188,549","231,679","293,932",373.978,"400,950","430,841","447,750",Un­known,"464,958","417,491"
15,Tho Xuan Airport,Thanh Hóa,Thanh Hóa,THD,VVTX,—,"90,929","163,270","570,713","828,930","865,534","939,000","1,053,000","1,211,928","757,706","1,596,695","1,200,000"
16,Dong Hoi Airport,Quảng Bình,Đồng Hới,VDH,VVDH,"81,764","105,586","117,656","261,372","365,000","470,000","534,856","539,908","487,746",Un­known,Un­known,"700,000"
17,Dien Bien Airport,Điện Biên,Điện Biên Phủ,DIN,VVDB,"73,372","74,272","81,564",Un­known,"70,302","70,486","58,000","57,339",Un­known,Un­known,Un­known,
18,Tuy Hoa Airport,Phú Yên,Tuy Hòa,TBB,VVTH,"62,825","63,103","64,037","107,843","326,982","337,000","403,000","433,285","361,181",Un­known,Un­known,
19,Chu Lai International Airport,Quảng Nam,Tam Ky,VCL,VVCA,"53,753","50,974","40,198","154,549","553,285","673,000","760,000","944,313",Un­known,Un­known,Un­known,
20,Rạch Giá Airport,Kiên Giang,Rạch Giá,VKG,VVRG,"60,180","52,409","33,544",Un­known,Un­known,Un­known,"35,500","32,000",Un­known,Un­known,Un­known,
21,,,,,,,,,,,,,,Un­known,Un­known,"158,316","153,917"
22,Ca Mau Airport,Cà Mau,Cà Mau,CAH,VVCM,"37,995","34,400","30,698",Un­known,Un­known,Un­known,"38,500","37,000",Un­known,Un­known,Un­known,
